state,state_po,county,FIPS,candidate,party,candidatevotes,totalvotes,subunitID,candidateID
Alaska,AK,,2000,Donald Trump,republican,118602,190970,02000,AK6638
Alaska,AK,,2000,Joe Biden,democrat,63992,190970,02000,AK7073
Alaska,AK,,2000,Jo Jorgensen,liberal,5198,190970,02000,AK7074
Alaska,AK,,2000,Jesse Ventura,green,1524,190970,02000,AK7083
Alaska,AK,,2000,Brock Pierce,,774,190970,02000,AK7078
Alaska,AK,,2000,Don Blankenship,,673,190970,02000,AK7076
Alaska,AK,,2000,Roque De La Fuente,,207,190970,02000,AK7077
Alabama,AL,Autauga,1001,Donald Trump,republican,19764,27560,01001,AL5063
Alabama,AL,Autauga,1001,Joe Biden,democrat,7450,27560,01001,AL5755
Alabama,AL,Autauga,1001,Jo Jorgensen,liberal,346,27560,01001,AL5849
Alabama,AL,Baldwin,1003,Donald Trump,republican,83055,108620,01003,AL5063
Alabama,AL,Baldwin,1003,Joe Biden,democrat,24344,108620,01003,AL5755
Alabama,AL,Baldwin,1003,Jo Jorgensen,liberal,1221,108620,01003,AL5849
Alabama,AL,Barbour,1005,Donald Trump,republican,5605,10445,01005,AL5063
Alabama,AL,Barbour,1005,Joe Biden,democrat,4772,10445,01005,AL5755
Alabama,AL,Barbour,1005,Jo Jorgensen,liberal,68,10445,01005,AL5849
Alabama,AL,Bibb,1007,Donald Trump,republican,7508,9563,01007,AL5063
Alabama,AL,Bibb,1007,Joe Biden,democrat,1982,9563,01007,AL5755
Alabama,AL,Bibb,1007,Jo Jorgensen,liberal,73,9563,01007,AL5849
Alabama,AL,Blount,1009,Donald Trump,republican,24595,27431,01009,AL5063
Alabama,AL,Blount,1009,Joe Biden,democrat,2627,27431,01009,AL5755
Alabama,AL,Blount,1009,Jo Jorgensen,liberal,209,27431,01009,AL5849
Alabama,AL,Bullock,1011,Joe Biden,democrat,3439,4601,01011,AL5755
Alabama,AL,Bullock,1011,Donald Trump,republican,1143,4601,01011,AL5063
Alabama,AL,Bullock,1011,Jo Jorgensen,liberal,19,4601,01011,AL5849
Alabama,AL,Butler,1013,Donald Trump,republican,5448,9460,01013,AL5063
Alabama,AL,Butler,1013,Joe Biden,democrat,3953,9460,01013,AL5755
Alabama,AL,Butler,1013,Jo Jorgensen,liberal,59,9460,01013,AL5849
Alabama,AL,Calhoun,1015,Donald Trump,republican,34964,50630,01015,AL5063
Alabama,AL,Calhoun,1015,Joe Biden,democrat,15118,50630,01015,AL5755
Alabama,AL,Calhoun,1015,Jo Jorgensen,liberal,548,50630,01015,AL5849
Alabama,AL,Chambers,1017,Donald Trump,republican,8748,15244,01017,AL5063
Alabama,AL,Chambers,1017,Joe Biden,democrat,6356,15244,01017,AL5755
Alabama,AL,Chambers,1017,Jo Jorgensen,liberal,140,15244,01017,AL5849
Alabama,AL,Cherokee,1019,Donald Trump,republican,10562,12263,01019,AL5063
Alabama,AL,Cherokee,1019,Joe Biden,democrat,1619,12263,01019,AL5755
Alabama,AL,Cherokee,1019,Jo Jorgensen,liberal,82,12263,01019,AL5849
Alabama,AL,Chilton,1021,Donald Trump,republican,16052,19231,01021,AL5063
Alabama,AL,Chilton,1021,Joe Biden,democrat,3056,19231,01021,AL5755
Alabama,AL,Chilton,1021,Jo Jorgensen,liberal,123,19231,01021,AL5849
Alabama,AL,Choctaw,1023,Donald Trump,republican,4294,7458,01023,AL5063
Alabama,AL,Choctaw,1023,Joe Biden,democrat,3126,7458,01023,AL5755
Alabama,AL,Choctaw,1023,Jo Jorgensen,liberal,38,7458,01023,AL5849
Alabama,AL,Clarke,1025,Donald Trump,republican,7310,13088,01025,AL5063
Alabama,AL,Clarke,1025,Joe Biden,democrat,5730,13088,01025,AL5755
Alabama,AL,Clarke,1025,Jo Jorgensen,liberal,48,13088,01025,AL5849
Alabama,AL,Clay,1027,Donald Trump,republican,5589,6904,01027,AL5063
Alabama,AL,Clay,1027,Joe Biden,democrat,1262,6904,01027,AL5755
Alabama,AL,Clay,1027,Jo Jorgensen,liberal,53,6904,01027,AL5849
Alabama,AL,Cleburne,1029,Donald Trump,republican,6472,7202,01029,AL5063
Alabama,AL,Cleburne,1029,Joe Biden,democrat,672,7202,01029,AL5755
Alabama,AL,Cleburne,1029,Jo Jorgensen,liberal,58,7202,01029,AL5849
Alabama,AL,Coffee,1031,Donald Trump,republican,16832,22144,01031,AL5063
Alabama,AL,Coffee,1031,Joe Biden,democrat,5050,22144,01031,AL5755
Alabama,AL,Coffee,1031,Jo Jorgensen,liberal,262,22144,01031,AL5849
Alabama,AL,Colbert,1033,Donald Trump,republican,17311,24607,01033,AL5063
Alabama,AL,Colbert,1033,Joe Biden,democrat,7057,24607,01033,AL5755
Alabama,AL,Colbert,1033,Jo Jorgensen,liberal,239,24607,01033,AL5849
Alabama,AL,Conecuh,1035,Donald Trump,republican,3435,6418,01035,AL5063
Alabama,AL,Conecuh,1035,Joe Biden,democrat,2951,6418,01035,AL5755
Alabama,AL,Conecuh,1035,Jo Jorgensen,liberal,32,6418,01035,AL5849
Alabama,AL,Coosa,1037,Donald Trump,republican,3626,5466,01037,AL5063
Alabama,AL,Coosa,1037,Joe Biden,democrat,1794,5466,01037,AL5755
Alabama,AL,Coosa,1037,Jo Jorgensen,liberal,46,5466,01037,AL5849
