"","FIPS","county","2000","2004","2008","2012","2016","2020","perc_all","perc_no2016","perc_no2020","perc_no2000","perc_no2004","perc_no2008","perc_no2012"
"1",1001,"Autauga AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"2",1003,"Baldwin AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"3",1005,"Barbour AL",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0.5,0.4,0.6,0.6,0.4,0.6,0.4
"4",1007,"Bibb AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"5",1009,"Blount AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"6",1011,"Bullock AL",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0.5,0.6,0.4,0.6,0.6,0.4,0.4
"7",1013,"Butler AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"8",1015,"Calhoun AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"9",1017,"Chambers AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"10",1019,"Cherokee AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"11",1021,"Chilton AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"12",1023,"Choctaw AL",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.333333333333333,0.2,0.4,0.4,0.2,0.4,0.4
"13",1025,"Clarke AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"14",1027,"Clay AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"15",1029,"Cleburne AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"16",1031,"Coffee AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"17",1033,"Colbert AL",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.333333333333333,0.2,0.4,0.4,0.2,0.4,0.4
"18",1035,"Conecuh AL",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0.5,0.4,0.6,0.6,0.4,0.6,0.4
"19",1037,"Coosa AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"20",1039,"Covington AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"21",1041,"Crenshaw AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"22",1043,"Cullman AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"23",1045,"Dale AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"24",1047,"Dallas AL",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0.5,0.6,0.4,0.6,0.6,0.4,0.4
"25",1049,"DeKalb AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"26",1051,"Elmore AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"27",1053,"Escambia AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"28",1055,"Etowah AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"29",1057,"Fayette AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"30",1059,"Franklin AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"31",1061,"Geneva AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"32",1063,"Greene AL",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0.5,0.6,0.4,0.6,0.6,0.4,0.4
"33",1065,"Hale AL",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0.5,0.6,0.4,0.6,0.6,0.4,0.4
"34",1067,"Henry AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"35",1069,"Houston AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"36",1071,"Jackson AL",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.333333333333333,0.2,0.4,0.4,0.2,0.4,0.4
"37",1073,"Jefferson AL",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0.833333333333333,1,0.8,0.8,0.8,0.8,0.8
"38",1075,"Lamar AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"39",1077,"Lauderdale AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"40",1079,"Lawrence AL",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.333333333333333,0.2,0.4,0.4,0.2,0.4,0.4
"41",1081,"Lee AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"42",1083,"Limestone AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"43",1085,"Lowndes AL",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0.5,0.6,0.4,0.6,0.6,0.4,0.4
"44",1087,"Macon AL",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0.5,0.6,0.4,0.6,0.6,0.4,0.4
"45",1089,"Madison AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"46",1091,"Marengo AL",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,0.666666666666667,0.8,0.6,0.8,0.6,0.6,0.6
"47",1093,"Marion AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"48",1095,"Marshall AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"49",1097,"Mobile AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"50",1099,"Monroe AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"51",1101,"Montgomery AL",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0.5,0.6,0.4,0.6,0.6,0.4,0.4
"52",1103,"Morgan AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"53",1105,"Perry AL",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0.5,0.6,0.4,0.6,0.6,0.4,0.4
"54",1107,"Pickens AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"55",1109,"Pike AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"56",1111,"Randolph AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"57",1113,"Russell AL",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0.5,0.6,0.4,0.6,0.6,0.4,0.4
"58",1115,"St. Clair AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"59",1117,"Shelby AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"60",1119,"Sumter AL",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0.5,0.6,0.4,0.6,0.6,0.4,0.4
"61",1121,"Talladega AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"62",1123,"Tallapoosa AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"63",1125,"Tuscaloosa AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"64",1127,"Walker AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"65",1129,"Washington AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"66",1131,"Wilcox AL",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0.5,0.6,0.4,0.6,0.6,0.4,0.4
"67",1133,"Winston AL",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"68",4001,"Apache AZ",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0.5,0.6,0.4,0.6,0.6,0.4,0.4
"69",4003,"Cochise AZ",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"70",4005,"Coconino AZ",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0.5,0.6,0.4,0.6,0.6,0.4,0.4
"71",4007,"Gila AZ",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"72",4009,"Graham AZ",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"73",4011,"Greenlee AZ",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"74",4012,"La Paz AZ",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,0.4,0.6,0.4,0.4,0.6,0.6
"75",4013,"Maricopa AZ",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.666666666666667,0.6,0.6,0.6,0.6,0.8,0.8
