state,subunitID,candidateID,candidateName,voteCount
AK,02000,AK6638,Trump,118602
AK,02000,AK7073,Biden,63992
AK,02000,AK7074,Jorgensen,5198
AK,02000,AK7083,Ventura,1524
AK,02000,AK7078,Pierce,774
AK,02000,AK7076,Blankenship,673
AK,02000,AK7077,De La Fuente,207
AL,01001,AL5063,Trump,19764
AL,01001,AL5755,Biden,7450
AL,01001,AL5849,Jorgensen,346
AL,01003,AL5063,Trump,83055
AL,01003,AL5755,Biden,24344
AL,01003,AL5849,Jorgensen,1221
AL,01005,AL5063,Trump,5605
AL,01005,AL5755,Biden,4772
AL,01005,AL5849,Jorgensen,68
AL,01007,AL5063,Trump,7508
AL,01007,AL5755,Biden,1982
AL,01007,AL5849,Jorgensen,73
AL,01009,AL5063,Trump,24595
AL,01009,AL5755,Biden,2627
AL,01009,AL5849,Jorgensen,209
AL,01011,AL5755,Biden,3439
AL,01011,AL5063,Trump,1143
AL,01011,AL5849,Jorgensen,19
AL,01013,AL5063,Trump,5448
AL,01013,AL5755,Biden,3953
AL,01013,AL5849,Jorgensen,59
AL,01015,AL5063,Trump,34964
AL,01015,AL5755,Biden,15118
AL,01015,AL5849,Jorgensen,548
AL,01017,AL5063,Trump,8748
AL,01017,AL5755,Biden,6356
AL,01017,AL5849,Jorgensen,140
AL,01019,AL5063,Trump,10562
AL,01019,AL5755,Biden,1619
AL,01019,AL5849,Jorgensen,82
AL,01021,AL5063,Trump,16052
AL,01021,AL5755,Biden,3056
AL,01021,AL5849,Jorgensen,123
AL,01023,AL5063,Trump,4294
AL,01023,AL5755,Biden,3126
AL,01023,AL5849,Jorgensen,38
AL,01025,AL5063,Trump,7310
AL,01025,AL5755,Biden,5730
AL,01025,AL5849,Jorgensen,48
AL,01027,AL5063,Trump,5589
AL,01027,AL5755,Biden,1262
AL,01027,AL5849,Jorgensen,53
AL,01029,AL5063,Trump,6472
AL,01029,AL5755,Biden,672
AL,01029,AL5849,Jorgensen,58
AL,01031,AL5063,Trump,16832
AL,01031,AL5755,Biden,5050
AL,01031,AL5849,Jorgensen,262
AL,01033,AL5063,Trump,17311
AL,01033,AL5755,Biden,7057
AL,01033,AL5849,Jorgensen,239
AL,01035,AL5063,Trump,3435
AL,01035,AL5755,Biden,2951
AL,01035,AL5849,Jorgensen,32
AL,01037,AL5063,Trump,3626
AL,01037,AL5755,Biden,1794
AL,01037,AL5849,Jorgensen,46
AL,01039,AL5063,Trump,14579
AL,01039,AL5755,Biden,2717
AL,01039,AL5849,Jorgensen,97
AL,01041,AL5063,Trump,4864
AL,01041,AL5755,Biden,1700
AL,01041,AL5849,Jorgensen,44
AL,01043,AL5063,Trump,36831
AL,01043,AL5755,Biden,4475
AL,01043,AL5849,Jorgensen,418
AL,01045,AL5063,Trump,14281
AL,01045,AL5755,Biden,5154
AL,01045,AL5849,Jorgensen,232
AL,01047,AL5755,Biden,12228
AL,01047,AL5063,Trump,5523
AL,01047,AL5849,Jorgensen,90
AL,01049,AL5063,Trump,24744
AL,01049,AL5755,Biden,4271
AL,01049,AL5849,Jorgensen,250
AL,01051,AL5063,Trump,30089
AL,01051,AL5755,Biden,10304
AL,01051,AL5849,Jorgensen,397
AL,01053,AL5063,Trump,10844
AL,01053,AL5755,Biden,4894
AL,01053,AL5849,Jorgensen,94
AL,01055,AL5063,Trump,35343
AL,01055,AL5755,Biden,11487
AL,01055,AL5849,Jorgensen,528
AL,01057,AL5063,Trump,7295
AL,01057,AL5755,Biden,1390
AL,01057,AL5849,Jorgensen,56
AL,01059,AL5063,Trump,10364
AL,01059,AL5755,Biden,2085
AL,01059,AL5849,Jorgensen,105
AL,01061,AL5063,Trump,10844
AL,01061,AL5755,Biden,1592
AL,01061,AL5849,Jorgensen,90
AL,01063,AL5755,Biden,3880
AL,01063,AL5063,Trump,875
AL,01063,AL5849,Jorgensen,8
AL,01065,AL5755,Biden,4687
AL,01065,AL5063,Trump,3190
AL,01065,AL5849,Jorgensen,37
AL,01067,AL5063,Trump,6593
AL,01067,AL5755,Biden,2589
AL,01067,AL5849,Jorgensen,69
AL,01069,AL5063,Trump,32384
AL,01069,AL5755,Biden,12738
AL,01069,AL5849,Jorgensen,525
AL,01071,AL5063,Trump,19644
AL,01071,AL5755,Biden,3709
AL,01071,AL5849,Jorgensen,208
AL,01073,AL5755,Biden,180936
AL,01073,AL5063,Trump,138443
AL,01073,AL5849,Jorgensen,3568
AL,01075,AL5063,Trump,6168
AL,01075,AL5755,Biden,978
AL,01075,AL5849,Jorgensen,33
AL,01077,AL5063,Trump,31578
AL,01077,AL5755,Biden,11872
AL,01077,AL5849,Jorgensen,533
AL,01079,AL5063,Trump,12266
AL,01079,AL5755,Biden,3544
AL,01079,AL5849,Jorgensen,126
AL,01081,AL5063,Trump,42019
AL,01081,AL5755,Biden,27600
AL,01081,AL5849,Jorgensen,1012
AL,01083,AL5063,Trump,34337
AL,01083,AL5755,Biden,13510
AL,01083,AL5849,Jorgensen,736
AL,01085,AL5755,Biden,4968
AL,01085,AL5063,Trump,1835
AL,01085,AL5849,Jorgensen,26
AL,01087,AL5755,Biden,7084
AL,01087,AL5063,Trump,1539
AL,01087,AL5849,Jorgensen,52
AL,01089,AL5063,Trump,102395
AL,01089,AL5755,Biden,86885
AL,01089,AL5849,Jorgensen,3678
AL,01091,AL5755,Biden,5476
AL,01091,AL5063,Trump,5337
AL,01091,AL5849,Jorgensen,59
AL,01093,AL5063,Trump,12190
AL,01093,AL5755,Biden,1457
AL,01093,AL5849,Jorgensen,115
AL,01095,AL5063,Trump,33094
AL,01095,AL5755,Biden,5880
AL,01095,AL5849,Jorgensen,432
AL,01097,AL5063,Trump,100605
AL,01097,AL5755,Biden,78754
AL,01097,AL5849,Jorgensen,1920
AL,01099,AL5063,Trump,6126
AL,01099,AL5755,Biden,4418
AL,01099,AL5849,Jorgensen,53
AL,01101,AL5755,Biden,64065
AL,01101,AL5063,Trump,33122
AL,01101,AL5849,Jorgensen,916
AL,01103,AL5063,Trump,39504
AL,01103,AL5755,Biden,13159
AL,01103,AL5849,Jorgensen,700
AL,01105,AL5755,Biden,3849
AL,01105,AL5063,Trump,1336
AL,01105,AL5849,Jorgensen,23
AL,01107,AL5063,Trump,5590
AL,01107,AL5755,Biden,4017
AL,01107,AL5849,Jorgensen,40
AL,01109,AL5063,Trump,8020
AL,01109,AL5755,Biden,5613
AL,01109,AL5849,Jorgensen,134
AL,01111,AL5063,Trump,8548
AL,01111,AL5755,Biden,2203
AL,01111,AL5849,Jorgensen,59
AL,01113,AL5755,Biden,11078
AL,01113,AL5063,Trump,9796
AL,01113,AL5849,Jorgensen,195
AL,01115,AL5063,Trump,36119
AL,01115,AL5755,Biden,7698
AL,01115,AL5849,Jorgensen,444
AL,01117,AL5063,Trump,79428
AL,01117,AL5755,Biden,33036
AL,01117,AL5849,Jorgensen,1456
AL,01119,AL5755,Biden,4639
AL,01119,AL5063,Trump,1598
AL,01119,AL5849,Jorgensen,37
AL,01121,AL5063,Trump,22210
AL,01121,AL5755,Biden,13092
AL,01121,AL5849,Jorgensen,246
AL,01123,AL5063,Trump,14905
AL,01123,AL5755,Biden,5815
AL,01123,AL5849,Jorgensen,129
AL,01125,AL5063,Trump,47367
AL,01125,AL5755,Biden,28560
AL,01125,AL5849,Jorgensen,831
AL,01127,AL5063,Trump,25947
AL,01127,AL5755,Biden,4826
AL,01127,AL5849,Jorgensen,276
AL,01129,AL5063,Trump,6554
AL,01129,AL5755,Biden,2253
AL,01129,AL5849,Jorgensen,45
AL,01131,AL5755,Biden,4036
AL,01131,AL5063,Trump,1826
AL,01131,AL5849,Jorgensen,17
AL,01133,AL5063,Trump,10187
AL,01133,AL5755,Biden,974
AL,01133,AL5849,Jorgensen,99
AR,05001,AR12686,Trump,4301
AR,05001,AR13356,Biden,1813
AR,05001,AR13753,Jorgensen,46
AR,05001,AR13752,La Riva,23
AR,05001,AR13769,Collins,22
AR,05001,AR13758,West,19
AR,05001,AR13754,Hawkins,16
AR,05001,AR13756,Gammon,13
AR,05001,AR13751,Blankenship,9
AR,05001,AR13750,Carroll,7
AR,05001,AR13755,De La Fuente,7
AR,05001,AR13759,Myers,4
AR,05001,AR13757,Pierce,4
AR,05003,AR12686,Trump,5540
AR,05003,AR13356,Biden,2119
AR,05003,AR13769,Collins,44
AR,05003,AR13758,West,43
AR,05003,AR13756,Gammon,34
AR,05003,AR13751,Blankenship,30
AR,05003,AR13752,La Riva,26
AR,05003,AR13753,Jorgensen,25
AR,05003,AR13759,Myers,17
AR,05003,AR13750,Carroll,10
AR,05003,AR13755,De La Fuente,9
AR,05003,AR13754,Hawkins,9
AR,05003,AR13757,Pierce,5
AR,05005,AR12686,Trump,15810
AR,05005,AR13356,Biden,4625
AR,05005,AR13753,Jorgensen,182
AR,05005,AR13751,Blankenship,78
AR,05005,AR13758,West,72
AR,05005,AR13754,Hawkins,42
AR,05005,AR13757,Pierce,41
