ward,precinct,votes,Biden,Trump,Hawkins,LaRiva,Carroll,Jorgensen
1,1,736,641,75,7,6,1,6
,2,581,515,51,6,4,0,5
,3,796,718,68,1,0,1,8
,4,791,686,91,3,2,1,8
,5,732,647,71,3,2,0,9
,6,636,531,94,5,2,1,3
,7,469,412,47,1,2,0,7
,8,628,557,64,2,1,0,4
,9,480,409,61,4,1,0,5
,10,870,750,100,3,0,1,16
,11,793,710,67,7,0,0,9
,12,830,683,130,5,3,0,9
,13,344,298,30,5,3,0,8
,14,675,602,66,2,1,0,4
,15,605,504,84,4,4,0,9
,16,739,642,78,5,5,1,8
,17,587,522,54,4,3,1,3
,18,655,595,46,4,5,1,4
,19,781,703,55,11,2,0,10
,20,513,474,33,3,1,0,2
,21,1017,912,84,9,1,1,10
,22,460,405,41,8,2,0,4
,23,857,770,62,12,6,3,4
,24,621,543,56,7,8,2,5
,25,650,579,56,4,0,2,9
,26,459,398,54,2,0,1,4
,27,749,643,92,4,2,0,8
,28,229,187,36,2,0,2,2
,29,904,806,77,3,6,0,12
,30,753,658,78,9,3,0,5
,31,611,525,76,1,3,2,4
,32,668,554,98,2,0,2,12
,33,782,651,117,2,5,0,7
,34,529,484,34,2,2,1,6
,35,849,723,109,4,0,0,13
,36,780,676,87,6,0,0,11
,37,727,606,107,6,1,0,7
,38,659,594,52,2,1,1,9
,39,582,498,74,1,1,0,8
,40,647,525,110,3,1,0,8
,41,385,352,24,1,2,1,5
,42,213,184,24,1,0,0,4
,43,434,378,50,2,0,0,4
,44,606,542,46,4,0,0,14
2,1,678,589,76,4,0,0,9
,2,434,327,101,1,0,0,5
,3,681,599,69,4,1,0,8
,4,598,528,60,2,3,1,4
,5,696,600,80,3,3,0,10
,6,623,521,92,3,0,0,7
,7,554,475,66,8,0,0,5
,8,755,647,87,2,1,3,15
,9,581,453,116,1,0,0,11
,10,466,304,156,1,0,0,5
,11,620,469,141,3,1,1,5
,12,547,474,62,3,0,2,6
,13,504,389,109,1,0,0,5
,14,606,510,87,2,1,0,6
,15,541,473,60,0,2,0,6
,16,569,506,58,0,0,0,5
,17,664,552,102,3,1,1,5
,18,567,430,125,3,0,1,8
,19,424,308,115,0,0,0,1
,20,794,633,147,2,0,1,11
,21,641,568,64,2,1,0,6
,22,649,520,111,3,0,0,15
,23,418,322,91,0,0,1,4
,24,523,439,74,0,0,0,10
,25,673,582,74,2,1,0,14
,26,540,426,107,0,0,0,7
,27,559,373,175,1,1,0,9
,28,704,550,136,2,0,0,16
,29,683,525,145,1,1,0,11
,30,523,394,120,2,1,0,6
,31,677,532,136,1,0,0,8
,32,531,401,120,4,0,1,5
,33,871,649,207,4,1,0,10
,34,459,340,113,0,0,0,6
,35,829,647,168,3,1,0,10
,36,712,534,168,1,0,0,9
,37,519,400,114,1,0,0,4
,38,586,436,143,0,0,1,6
,39,423,273,142,4,0,0,4
,40,875,675,187,1,0,1,11
,41,725,526,180,4,0,1,14
,42,680,513,152,5,0,0,10
,43,826,611,199,0,0,1,15
,44,365,279,77,1,0,0,8
,45,710,562,131,3,3,0,11
,46,359,276,73,1,0,0,9
3,1,732,702,29,1,0,0,0
